epoch,train_folds,test_folds,phase,loss,accuracy,precision,recall,f1
1,"[1, 2, 3, 4]",[0],train,1.2640427177888724,"tensor(0.4818, dtype=torch.float64)",0.477980712628085,0.48184818481848185,0.46198602766259533
1,"[1, 2, 3, 4]",[0],test,1.2589550018310547,"tensor(0.4658, dtype=torch.float64)",0.476605746380909,0.4787234042553192,0.46017892701734403
1,"[0, 2, 3, 4]",[1],train,1.2476186626835872,"tensor(0.5230, dtype=torch.float64)",0.5150832089420675,0.5230263157894737,0.5087965208952155
1,"[0, 2, 3, 4]",[1],test,1.2495789925257366,"tensor(0.5556, dtype=torch.float64)",0.5193082517703201,0.5292553191489362,0.5170295674898359
1,"[0, 1, 3, 4]",[2],train,1.2402901252110798,"tensor(0.5133, dtype=torch.float64)",0.5048241619228336,0.5133333333333333,0.5043742919645299
1,"[0, 1, 3, 4]",[2],test,1.2192643629877191,"tensor(0.5658, dtype=torch.float64)",0.5140196343988516,0.523936170212766,0.5146827956880937
1,"[0, 1, 2, 4]",[3],train,1.2337613595675117,"tensor(0.5171, dtype=torch.float64)",0.5092702623966631,0.5171232876712328,0.48583803718912294
1,"[0, 1, 2, 4]",[3],test,1.2205731584912254,"tensor(0.4881, dtype=torch.float64)",0.49722840347102415,0.5106382978723404,0.4817213145645446
1,"[0, 1, 2, 3]",[4],train,1.2127547002229535,"tensor(0.5148, dtype=torch.float64)",0.4928610074122166,0.5147540983606558,0.48241884605306234
1,"[0, 1, 2, 3]",[4],test,1.2405539482412204,"tensor(0.4507, dtype=torch.float64)",0.47525465295068475,0.5026595744680851,0.4715410126596654
2,"[1, 2, 3, 4]",[0],train,1.2111037855494533,"tensor(0.5248, dtype=torch.float64)",0.5132735047698318,0.5247524752475248,0.5116090929937527
2,"[1, 2, 3, 4]",[0],test,1.210605222884923,"tensor(0.4658, dtype=torch.float64)",0.5042030592562508,0.5132978723404256,0.49955507686019623
2,"[0, 2, 3, 4]",[1],train,1.2027313897484226,"tensor(0.5757, dtype=torch.float64)",0.5800862361217052,0.5756578947368421,0.5693358456631453
2,"[0, 2, 3, 4]",[1],test,1.1994904677073162,"tensor(0.5833, dtype=torch.float64)",0.5747128106561773,0.5771276595744681,0.5703182515275977
2,"[0, 1, 3, 4]",[2],train,1.1984249273935954,"tensor(0.5200, dtype=torch.float64)",0.5063351556572974,0.52,0.49354308138413994
2,"[0, 1, 3, 4]",[2],test,1.1661557963019924,"tensor(0.5789, dtype=torch.float64)",0.5210050789866932,0.5319148936170213,0.511135492796224
2,"[0, 1, 2, 4]",[3],train,1.1922079406372488,"tensor(0.5411, dtype=torch.float64)",0.5452235213902943,0.541095890410959,0.5193677247210051
2,"[0, 1, 2, 4]",[3],test,1.2095447608402796,"tensor(0.4881, dtype=torch.float64)",0.5219115965294412,0.5292553191489362,0.5079370409157643
2,"[0, 1, 2, 3]",[4],train,1.1855998609886795,"tensor(0.5803, dtype=torch.float64)",0.5760660919646592,0.580327868852459,0.5588744167730382
2,"[0, 1, 2, 3]",[4],test,1.214174106087483,"tensor(0.4789, dtype=torch.float64)",0.5508985582604639,0.5611702127659575,0.5413618383552204
3,"[1, 2, 3, 4]",[0],train,1.1848180962867862,"tensor(0.5314, dtype=torch.float64)",0.525959269085346,0.5313531353135313,0.5010654980782806
3,"[1, 2, 3, 4]",[0],test,1.186382331260263,"tensor(0.5342, dtype=torch.float64)",0.5256797591630622,0.5319148936170213,0.4996316323885549
3,"[0, 2, 3, 4]",[1],train,1.1775534529435008,"tensor(0.5658, dtype=torch.float64)",0.5907570582313495,0.5657894736842105,0.538305359508352
3,"[0, 2, 3, 4]",[1],test,1.1712682512071397,"tensor(0.5278, dtype=torch.float64)",0.575018200074124,0.5585106382978723,0.5293224042796416
3,"[0, 1, 3, 4]",[2],train,1.170146075884501,"tensor(0.5533, dtype=torch.float64)",0.5554871549177979,0.5533333333333333,0.5401050102682248
3,"[0, 1, 3, 4]",[2],test,1.1275990636725175,"tensor(0.6447, dtype=torch.float64)",0.5739921603098896,0.5718085106382979,0.5632294727092529
3,"[0, 1, 2, 4]",[3],train,1.1649166508896711,"tensor(0.5856, dtype=torch.float64)",0.5756070329000335,0.5856164383561644,0.5731190441232774
3,"[0, 1, 2, 4]",[3],test,1.1560821930567424,"tensor(0.5476, dtype=torch.float64)",0.5649265725224817,0.5771276595744681,0.564750830070636
3,"[0, 1, 2, 3]",[4],train,1.1539903617296063,"tensor(0.6098, dtype=torch.float64)",0.6079236896515586,0.6098360655737705,0.6025061065635969
3,"[0, 1, 2, 3]",[4],test,1.1863674294780677,"tensor(0.4789, dtype=torch.float64)",0.5772961820476835,0.5851063829787234,0.5759758796246216
4,"[1, 2, 3, 4]",[0],train,1.1490086289522279,"tensor(0.6073, dtype=torch.float64)",0.6033968599624969,0.6072607260726073,0.5989707262319862
4,"[1, 2, 3, 4]",[0],test,1.1605045681130397,"tensor(0.5479, dtype=torch.float64)",0.5926880288270854,0.5957446808510638,0.5859182208195667
4,"[0, 2, 3, 4]",[1],train,1.1365955315138165,"tensor(0.5888, dtype=torch.float64)",0.589669059623356,0.5888157894736842,0.5793294050947791
4,"[0, 2, 3, 4]",[1],test,1.1369181738959417,"tensor(0.6111, dtype=torch.float64)",0.5931187290267086,0.5930851063829787,0.581106681512489
4,"[0, 1, 3, 4]",[2],train,1.1424840768178304,"tensor(0.6133, dtype=torch.float64)",0.6072344427641199,0.6133333333333333,0.6026245381663159
4,"[0, 1, 3, 4]",[2],test,1.095674803382472,"tensor(0.6579, dtype=torch.float64)",0.6157034940118651,0.6223404255319149,0.6137811383206114
4,"[0, 1, 2, 4]",[3],train,1.149265465671069,"tensor(0.6164, dtype=torch.float64)",0.6126836596080961,0.6164383561643836,0.6090965922591346
4,"[0, 1, 2, 4]",[3],test,1.1155232304618472,"tensor(0.6310, dtype=torch.float64)",0.6151218701349247,0.6196808510638298,0.6162676426830772
4,"[0, 1, 2, 3]",[4],train,1.1383778564265516,"tensor(0.6066, dtype=torch.float64)",0.5981881987563311,0.6065573770491803,0.5991934545644834
4,"[0, 1, 2, 3]",[4],test,1.1849673230883102,"tensor(0.4789, dtype=torch.float64)",0.5743184670210222,0.5824468085106383,0.5747577949646616
5,"[1, 2, 3, 4]",[0],train,1.114531698793468,"tensor(0.6436, dtype=torch.float64)",0.6471342176836227,0.6435643564356436,0.6262886196132914
5,"[1, 2, 3, 4]",[0],test,1.1500833622396809,"tensor(0.5753, dtype=torch.float64)",0.6346767309498648,0.6303191489361702,0.6089706079256588
5,"[0, 2, 3, 4]",[1],train,1.1269204679288363,"tensor(0.6250, dtype=torch.float64)",0.6353760687319564,0.625,0.6164464278505535
5,"[0, 2, 3, 4]",[1],test,1.1183826923370361,"tensor(0.6389, dtype=torch.float64)",0.6337455034102684,0.6276595744680851,0.6193143225433787
5,"[0, 1, 3, 4]",[2],train,1.1187294371922811,"tensor(0.6133, dtype=torch.float64)",0.600630183358021,0.6133333333333333,0.6003192163509623
5,"[0, 1, 3, 4]",[2],test,1.0730812675074528,"tensor(0.6842, dtype=torch.float64)",0.6185565229089612,0.6276595744680851,0.6197370908032116
5,"[0, 1, 2, 4]",[3],train,1.1229146849619198,"tensor(0.6336, dtype=torch.float64)",0.6351560539916705,0.6335616438356164,0.6277354644997215
5,"[0, 1, 2, 4]",[3],test,1.0958588747751146,"tensor(0.5952, dtype=torch.float64)",0.6202595590778269,0.625,0.6186802875864895
5,"[0, 1, 2, 3]",[4],train,1.1104941608475858,"tensor(0.6426, dtype=torch.float64)",0.6361002263214713,0.6426229508196721,0.6355592536294041
5,"[0, 1, 2, 3]",[4],test,1.1696007167789297,"tensor(0.4930, dtype=torch.float64)",0.6097285987941888,0.6143617021276596,0.6071310394848322
6,"[1, 2, 3, 4]",[0],train,1.1050696042504642,"tensor(0.6469, dtype=torch.float64)",0.6392758628522411,0.6468646864686468,0.6368697707927805
6,"[1, 2, 3, 4]",[0],test,1.144947842375873,"tensor(0.4795, dtype=torch.float64)",0.605292895278551,0.6143617021276596,0.6017732685329454
6,"[0, 2, 3, 4]",[1],train,1.0905766549863314,"tensor(0.6546, dtype=torch.float64)",0.6550033132842717,0.6546052631578947,0.6537176507432726
6,"[0, 2, 3, 4]",[1],test,1.0988245805104573,"tensor(0.6944, dtype=torch.float64)",0.6597673990965488,0.6622340425531915,0.6598924643313152
6,"[0, 1, 3, 4]",[2],train,1.1012370157241822,"tensor(0.6267, dtype=torch.float64)",0.6232010582010582,0.6266666666666667,0.6190812775908147
6,"[0, 1, 3, 4]",[2],test,1.0520284615064923,"tensor(0.6842, dtype=torch.float64)",0.6341784972938931,0.6382978723404256,0.6322903293375808
6,"[0, 1, 2, 4]",[3],train,1.1008711824678394,"tensor(0.6541, dtype=torch.float64)",0.6501365678806291,0.6541095890410958,0.6506305397897605
6,"[0, 1, 2, 4]",[3],test,1.0408005544117518,"tensor(0.7262, dtype=torch.float64)",0.6674385685784597,0.6702127659574468,0.6673940580098421
6,"[0, 1, 2, 3]",[4],train,1.0969029809607833,"tensor(0.6393, dtype=torch.float64)",0.6385098705839976,0.639344262295082,0.6384536529375823
6,"[0, 1, 2, 3]",[4],test,1.1214938684248588,"tensor(0.5493, dtype=torch.float64)",0.619454757974268,0.6223404255319149,0.6200994627880849
7,"[1, 2, 3, 4]",[0],train,1.0674808119783308,"tensor(0.7030, dtype=torch.float64)",0.7061410114104786,0.7029702970297029,0.6981760227681774
7,"[1, 2, 3, 4]",[0],test,1.1060919631017399,"tensor(0.5890, dtype=torch.float64)",0.6797347762870704,0.6808510638297872,0.6760769362107518
7,"[0, 2, 3, 4]",[1],train,1.0710370917069285,"tensor(0.6842, dtype=torch.float64)",0.6960183381866871,0.6842105263157895,0.6883339893737518
7,"[0, 2, 3, 4]",[1],test,1.0788408517837524,"tensor(0.6806, dtype=torch.float64)",0.6888625833936208,0.6835106382978723,0.6844723929813131
7,"[0, 1, 3, 4]",[2],train,1.0783393208185832,"tensor(0.6667, dtype=torch.float64)",0.662153707379563,0.6666666666666666,0.6636989758834018
7,"[0, 1, 3, 4]",[2],test,1.0165079455626638,"tensor(0.7763, dtype=torch.float64)",0.6861277561588283,0.6888297872340425,0.686961786309231
7,"[0, 1, 2, 4]",[3],train,1.0796054438368914,"tensor(0.6610, dtype=torch.float64)",0.6618147648873364,0.660958904109589,0.6605974477153813
7,"[0, 1, 2, 4]",[3],test,1.0328692822229295,"tensor(0.6786, dtype=torch.float64)",0.6626857421372655,0.6648936170212766,0.6636133772830816
7,"[0, 1, 2, 3]",[4],train,1.0597385336141116,"tensor(0.7049, dtype=torch.float64)",0.710272331154684,0.7049180327868853,0.700012764032316
7,"[0, 1, 2, 3]",[4],test,1.0972020575697994,"tensor(0.5493, dtype=torch.float64)",0.6754111177546069,0.675531914893617,0.67130555787797
8,"[1, 2, 3, 4]",[0],train,1.053258008886092,"tensor(0.7129, dtype=torch.float64)",0.7099576332603185,0.7128712871287128,0.7096760591206642
8,"[1, 2, 3, 4]",[0],test,1.0834543558016216,"tensor(0.5753, dtype=torch.float64)",0.6819032391633332,0.6861702127659575,0.6805686086691312
8,"[0, 2, 3, 4]",[1],train,1.0419943081705194,"tensor(0.7138, dtype=torch.float64)",0.7106371007446103,0.7138157894736842,0.7114570216293089
8,"[0, 2, 3, 4]",[1],test,1.060919808016883,"tensor(0.7083, dtype=torch.float64)",0.7106115223637198,0.7127659574468085,0.7097825424769204
8,"[0, 1, 3, 4]",[2],train,1.0492612091700235,"tensor(0.7067, dtype=torch.float64)",0.7043974811260673,0.7066666666666667,0.7019454824748093
8,"[0, 1, 3, 4]",[2],test,0.9883580741129423,"tensor(0.8158, dtype=torch.float64)",0.726612593175568,0.7287234042553191,0.7262871604836172
8,"[0, 1, 2, 4]",[3],train,1.0452088591170638,"tensor(0.6918, dtype=torch.float64)",0.6883330549915271,0.6917808219178082,0.6883312967986356
8,"[0, 1, 2, 4]",[3],test,0.9875748838697161,"tensor(0.7619, dtype=torch.float64)",0.704371626307481,0.7074468085106383,0.7030918856904464
8,"[0, 1, 2, 3]",[4],train,1.0298943664206832,"tensor(0.7508, dtype=torch.float64)",0.7486460897936307,0.7508196721311475,0.747812908806053
8,"[0, 1, 2, 3]",[4],test,1.0296901514832402,"tensor(0.7324, dtype=torch.float64)",0.7455926684225689,0.7473404255319149,0.7461591912468007
9,"[1, 2, 3, 4]",[0],train,1.0254205429908072,"tensor(0.7426, dtype=torch.float64)",0.7424459856983071,0.7425742574257426,0.7375364679338139
9,"[1, 2, 3, 4]",[0],test,1.0294529934452004,"tensor(0.7534, dtype=torch.float64)",0.7426046597121257,0.7446808510638298,0.7396588509397327
9,"[0, 2, 3, 4]",[1],train,1.0215145757323818,"tensor(0.7401, dtype=torch.float64)",0.7431063582379372,0.7401315789473685,0.7409963283416359
9,"[0, 2, 3, 4]",[1],test,1.0394713083902996,"tensor(0.7083, dtype=torch.float64)",0.7348244234800839,0.7340425531914894,0.7323597774575218
9,"[0, 1, 3, 4]",[2],train,1.0240599926312763,"tensor(0.7567, dtype=torch.float64)",0.756858850713281,0.7566666666666667,0.7560113792299817
9,"[0, 1, 3, 4]",[2],test,0.9701453761050576,"tensor(0.8289, dtype=torch.float64)",0.7718032967136502,0.7712765957446809,0.7707563063118444
9,"[0, 1, 2, 4]",[3],train,1.024455044367542,"tensor(0.7329, dtype=torch.float64)",0.7316765252570738,0.7328767123287672,0.7283300644829673
9,"[0, 1, 2, 4]",[3],test,0.954576849937439,"tensor(0.8095, dtype=torch.float64)",0.7480382888552558,0.75,0.7472347124021496
9,"[0, 1, 2, 3]",[4],train,1.0073440133548173,"tensor(0.7541, dtype=torch.float64)",0.7548557484636668,0.7540983606557377,0.7513766944172745
9,"[0, 1, 2, 3]",[4],test,1.0670148033491322,"tensor(0.6056, dtype=torch.float64)",0.7237356001947027,0.726063829787234,0.7235013546501512
10,"[1, 2, 3, 4]",[0],train,1.011903470695609,"tensor(0.7492, dtype=torch.float64)",0.7595114432541332,0.7491749174917491,0.744351050217904
10,"[1, 2, 3, 4]",[0],test,1.0047300025208357,"tensor(0.7534, dtype=torch.float64)",0.7589501510692062,0.75,0.7455135684415953
10,"[0, 2, 3, 4]",[1],train,0.9946415832168177,"tensor(0.7763, dtype=torch.float64)",0.7775166052754824,0.7763157894736842,0.776593494352165
10,"[0, 2, 3, 4]",[1],test,1.0258848004870944,"tensor(0.7778, dtype=torch.float64)",0.7756722320426306,0.776595744680851,0.7755188095046406
10,"[0, 1, 3, 4]",[2],train,0.9924368580182393,"tensor(0.7700, dtype=torch.float64)",0.7712219033955047,0.77,0.7695394415558681
10,"[0, 1, 3, 4]",[2],test,0.9464099940500761,"tensor(0.8289, dtype=torch.float64)",0.7820577384393312,0.7819148936170213,0.7817871197868446
10,"[0, 1, 2, 4]",[3],train,0.9976837447244827,"tensor(0.7637, dtype=torch.float64)",0.7624275049742932,0.7636986301369864,0.761687323331159
10,"[0, 1, 2, 4]",[3],test,0.9347288040887742,"tensor(0.7857, dtype=torch.float64)",0.7674880183201778,0.7686170212765957,0.7662811193610782
10,"[0, 1, 2, 3]",[4],train,0.9777422947961776,"tensor(0.8033, dtype=torch.float64)",0.8014312713100047,0.8032786885245902,0.8020946812064611
10,"[0, 1, 2, 3]",[4],test,0.9845816803650117,"tensor(0.7606, dtype=torch.float64)",0.7946035194621828,0.7952127659574468,0.7942914177958714
11,"[1, 2, 3, 4]",[0],train,1.0009589094926816,"tensor(0.7756, dtype=torch.float64)",0.7795697271590513,0.7755775577557755,0.7725172235731665
11,"[1, 2, 3, 4]",[0],test,0.9742874258185086,"tensor(0.8493, dtype=torch.float64)",0.791215122640972,0.7898936170212766,0.7862685898809921
11,"[0, 2, 3, 4]",[1],train,0.9672946396626925,"tensor(0.8191, dtype=torch.float64)",0.8216370294151772,0.819078947368421,0.8200149868073163
11,"[0, 2, 3, 4]",[1],test,1.007369379202525,"tensor(0.7500, dtype=torch.float64)",0.80581388273592,0.8058510638297872,0.8054049420894273
11,"[0, 1, 3, 4]",[2],train,0.9766115395228068,"tensor(0.7833, dtype=torch.float64)",0.7797240352685217,0.7833333333333333,0.7806825898606722
11,"[0, 1, 3, 4]",[2],test,0.9303913649759794,"tensor(0.8684, dtype=torch.float64)",0.7977651426463209,0.800531914893617,0.7986679117093469
11,"[0, 1, 2, 4]",[3],train,0.9710082705706766,"tensor(0.7911, dtype=torch.float64)",0.7877408704589818,0.791095890410959,0.7873525186733119
11,"[0, 1, 2, 4]",[3],test,0.9210444632030669,"tensor(0.7976, dtype=torch.float64)",0.7885028414800394,0.7925531914893617,0.789419763432404
11,"[0, 1, 2, 3]",[4],train,0.9687955465473113,"tensor(0.8033, dtype=torch.float64)",0.8010372674459628,0.8032786885245902,0.801199555380231
11,"[0, 1, 2, 3]",[4],test,1.0053928653958817,"tensor(0.6901, dtype=torch.float64)",0.780108480134218,0.7819148936170213,0.7794111228779564
12,"[1, 2, 3, 4]",[0],train,0.9671153947465098,"tensor(0.7888, dtype=torch.float64)",0.7899495630388853,0.7887788778877888,0.7867651254921411
12,"[1, 2, 3, 4]",[0],test,0.9460595527740374,"tensor(0.8219, dtype=torch.float64)",0.7953193472269041,0.7952127659574468,0.7929555507358961
12,"[0, 2, 3, 4]",[1],train,0.9555632534780001,"tensor(0.8125, dtype=torch.float64)",0.8161615905601799,0.8125,0.813823789223582
12,"[0, 2, 3, 4]",[1],test,0.9876657790607877,"tensor(0.7222, dtype=torch.float64)",0.79645400196848,0.7952127659574468,0.7950104865506067
12,"[0, 1, 3, 4]",[2],train,0.9573479215304057,"tensor(0.8267, dtype=torch.float64)",0.8265449497615268,0.8266666666666667,0.825978372834901
12,"[0, 1, 3, 4]",[2],test,0.9141247899908769,"tensor(0.8553, dtype=torch.float64)",0.8324531910479629,0.8324468085106383,0.8319094561530863
12,"[0, 1, 2, 4]",[3],train,0.9432094015487252,"tensor(0.8219, dtype=torch.float64)",0.8204206295343077,0.821917808219178,0.8205688343186865
12,"[0, 1, 2, 4]",[3],test,0.9232324418567476,"tensor(0.7857, dtype=torch.float64)",0.8117751162311538,0.8138297872340425,0.8118077687810807
12,"[0, 1, 2, 3]",[4],train,0.9400208021773666,"tensor(0.8328, dtype=torch.float64)",0.8310015085551781,0.8327868852459016,0.830940206412296
12,"[0, 1, 2, 3]",[4],test,0.9899393387243781,"tensor(0.7183, dtype=torch.float64)",0.8109280141246478,0.8111702127659575,0.8075641359216804
